Category,Ticker,ConvictionStocks,DecidingTheMarketDirections,DollarMoves
Insurance,OSCR,No,No,No
Insurance,UNH,Yes,No,Yes
Insurance,CLVR,No,No,No
BigTech_MagnificentSeven,AAPL,Yes,Yes,Yes
BigTech_MagnificentSeven,AMZN,Yes,Yes,Yes
BigTech_MagnificentSeven,GOOG,Yes,Yes,Yes
BigTech_MagnificentSeven,META,Yes,Yes,Yes
BigTech_MagnificentSeven,MSFT,Yes,Yes,Yes
BigTech_MagnificentSeven,NVDA,Yes,Yes,Yes
BigTech_MagnificentSeven,TSLA,Yes,Yes,Yes
SemiconductorsandChipmakers,AMD,Yes,Yes,Yes
SemiconductorsandChipmakers,AMAT,Yes,No,No
SemiconductorsandChipmakers,ARM,Yes,Yes,Yes
SemiconductorsandChipmakers,AVGO,Yes,Yes,Yes
SemiconductorsandChipmakers,MRVL,No,No,No
SemiconductorsandChipmakers,MU,Yes,Yes,Yes
SemiconductorsandChipmakers,NVDA,Yes,Yes,Yes
SemiconductorsandChipmakers,SNPS,No,No,No
SemiconductorsandChipmakers,TER,No,No,No
SemiconductorsandChipmakers,TXN,No,No,No
Software_CloudandSaaS,APP,Yes,Yes,Yes
Software_CloudandSaaS,AYX,No,No,No
Software_CloudandSaaS,CRM,Yes,Yes,Yes
Software_CloudandSaaS,DBX,No,No,No
Software_CloudandSaaS,DDOG,Yes,Yes,Yes
Software_CloudandSaaS,NET,Yes,Yes,Yes
Software_CloudandSaaS,ORCL,Yes,Yes,Yes
Software_CloudandSaaS,SNOW,Yes,Yes,Yes
EnterpriseSoftwareandDataAnalytics,AYX,No,No,No
EnterpriseSoftwareandDataAnalytics,DDOG,No,No,Yes
EnterpriseSoftwareandDataAnalytics,PLTR,Yes,Yes,Yes
EnterpriseSoftwareandDataAnalytics,SNOW,Yes,Yes,Yes
EnterpriseSoftwareandDataAnalytics,SPLK ,Yes,Yes,Yes
SocialMediaPlatforms,META,Yes,Yes,Yes
SocialMediaPlatforms,PINS,No,No,No
SocialMediaPlatforms,RBLX,No,No,No
SocialMediaPlatforms,SNAP,No,No,No
DigitalAdvertisingandMarketing,GOOG,Yes,Yes,Yes
DigitalAdvertisingandMarketing,META,Yes,Yes,Yes
DigitalAdvertisingandMarketing,PINS,No,No,No
DigitalAdvertisingandMarketing,SNAP,No,No,No
DigitalAdvertisingandMarketing,TTD,No,No,No
DigitalAdvertisingandMarketing,APP,Yes,Yes,Yes
ContentDeliveryandEdgeComputing,FSLY,No,No,No
ContentDeliveryandEdgeComputing,NET,No,No,No
AIandMachineLearning,AI,No,No,No
AIandMachineLearning,AMD,Yes,Yes,Yes
AIandMachineLearning,GOOG,Yes,Yes,Yes
AIandMachineLearning,META,Yes,Yes,Yes
AIandMachineLearning,MSFT,Yes,Yes,Yes
AIandMachineLearning,NVDA,Yes,Yes,Yes
AIandMachineLearning,PLTR,Yes,Yes,Yes
QuantumComputing,IONQ,Yes,No,Yes
QuantumComputing,QBTS,Yes,No,Yes
QuantumComputing,RGTI,Yes,No,Yes
BiotechnologyandGeneEditing,ALNY,No,No,No
BiotechnologyandGeneEditing,ARCT,No,No,No
BiotechnologyandGeneEditing,CDNA,No,No,No
BiotechnologyandGeneEditing,CRSP,No,No,No
BiotechnologyandGeneEditing,ILMN,No,No,No
BiotechnologyandGeneEditing,INSM,No,No,No
BiotechnologyandGeneEditing,MRNA,No,No,No
BiotechnologyandGeneEditing,NTRA,No,No,No
BiotechnologyandGeneEditing,PTCT,No,No,No
BiotechnologyandGeneEditing,QGEN,No,No,No
BiotechnologyandGeneEditing,QURE,No,No,No
BiotechnologyandGeneEditing,SRPT,No,No,No
BiotechnologyandGeneEditing,TWST,No,No,No
PharmaceuticalsandTherapeutics,ABBV,Yes,No,No
PharmaceuticalsandTherapeutics,ALNY,No,No,No
PharmaceuticalsandTherapeutics,BMRN,No,No,No
PharmaceuticalsandTherapeutics,INFI,No,No,No
PharmaceuticalsandTherapeutics,MRNA,No,No,No
PharmaceuticalsandTherapeutics,PTCT,No,No,No
PharmaceuticalsandTherapeutics,SRPT,No,No,No
PharmaceuticalsandTherapeutics,VRTX,No,No,No
PharmaceuticalsandTherapeutics,LLY,No,Yes,No
PharmaceuticalsandTherapeutics,NVO,Yes,YEs,No
GenomicsandDiagnostics,CDNA,No,No,No
GenomicsandDiagnostics,ILMN,No,No,No
GenomicsandDiagnostics,NVTA,No,No,No
GenomicsandDiagnostics,QGEN,No,No,No
GenomicsandDiagnostics,TWST,No,No,No
MedicalDevicesandImaging,SENS,No,No,No
HealthcareServicesandTelehealth,TDOC,No,No,No
ETF,GDX,No,No,No
ETF,LIT,No,No,No
ETF,QQQ,Yes,Yes,Yes
ETF,QQQI,No,No,No
ETF,SPYI,No,No,No
ETF,VOO,No,No,No
ETF,ARKG,No,No,No
ETF,ARKK,No,No,No
ETF,ARKW,No,No,No
ETF,TQQQ,No,No,No
ETF,SQQQ,No,No,No
Index,SPX,Yes,Yes,Yes
Index,SPY,Yes,Yes,Yes
ETF,YMAG,No,No,No
CryptocurrencyMiningandBlockchain,CIFR,Yes,No,No
CryptocurrencyMiningandBlockchain,GLXY,No,No,No
CryptocurrencyMiningandBlockchain,HUT,No,No,No
CryptocurrencyMiningandBlockchain,IREN,Yes,No,No
CryptocurrencyMiningandBlockchain,MARA,No,No,No
CryptocurrencyMiningandBlockchain,RIOT,No,No,No
FintechandDigitalPayments,DLO,No,No,No
FintechandDigitalPayments,HOOD,Yes,No,No
FintechandDigitalPayments,LMND,No,No,No
FintechandDigitalPayments,PAGS,No,No,No
FintechandDigitalPayments,PGY,No,No,No
FintechandDigitalPayments,SOFI,No,No,No
FintechandDigitalPayments,SQ,No,No,No
FintechandDigitalPayments,UPST,No,No,No
BankingandFinancialServices,AXP,No,No,No
BankingandFinancialServices,COF,No,No,No
BankingandFinancialServices,JEF,No,No,No
BankingandFinancialServices,JPM,Yes,Yes,Yes
BankingandFinancialServices,UWMC,No,No,No
RenewableEnergy_SolarandInverters,BE,No,Yes,Yes
RenewableEnergy_SolarandInverters,ENPH,Yes,No,No
RenewableEnergy_SolarandInverters,SUNW,No,No,No
FuelCellsandHydrogen,BE,No,No,Yes
FuelCellsandHydrogen,FCEL,No,No,No
BiofuelsandAlternativeFuels,BE,No,No,Yes
GeothermalandCleanEnergyUtilities,NRG,No,No,No
GeothermalandCleanEnergyUtilities,ORA,No,No,No
EnergyStorageandBatteries,EOSE,Yes,No,No
EnergyStorageandBatteries,ENVX,No,No,No
EnergyStorageandBatteries,QS,No,No,No
EnergyStorageandBatteries,IREN,Yes,No,No
